case_title,case_number,section,entity_text,entity_label
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,company,ORG
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,owner,PERSON
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,airport,GPE
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,tender,EVENT
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,vendor 3,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,vendor 4,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,Kosovo,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,Organised Crime Bureau,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,Pristina,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,Prizren,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,ITF,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,International Prosecutor,Title
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,UNMIK,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,Department of Justice,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,October 2004,Date
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,1 December 2004,Date
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,Case 286/04,Case
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,applicable_laws_and_procedural_rules,Kosovo,LOCATION
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,31st august,DATE
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,14th september 2004,DATE
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,vendor 1,ORGANIZATION
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,vendor 2,ORGANIZATION
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,airport tender,EVENT
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,company,ORGANIZATION
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,kosovo,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,pristina,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,ljubljana,Location
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 1,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 2,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 3,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 4,Organization
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 1,530",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 1,620",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 15,919",Monetary
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,"€ 19,248.70",Monetary
