case_title,case_number,section,source,target,relationship
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,owner,company,owns
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,tender,company,involves
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,introduction,airport,tender,hosts
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,vendor 3,vendor 4,alleged competitor
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,ITF,International Prosecutor,submits case to
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,investigation_details,UNMIK,Department of Justice,collaborates with
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,vendor 1,vendor 2,competitors
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,vendor 1,airport tender,participated in
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,vendor 2,airport tender,participated in
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,company,vendor 1,alleged to exchange information with
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,methodology,company,vendor 2,alleged to exchange information with
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 1,vendor 2,competitor
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 1,vendor 2,winner
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 1,vendor 3,competitor
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 2,vendor 3,competitor
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 3,vendor 4,competitor
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 1,tender 1,submitted offer
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 2,tender 1,submitted offer
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 3,tender 1,submitted offer
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,background_information,vendor 4,tender 1,submitted offer
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,conclusions,Kosovo,1999/2,related to the financial agreement
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,conclusions,case 286/04,Kosovo,is a legal case concerning
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,airport staff,procurement activity,responsible for
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,airport staff,procurement regulations,must adhere to
Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2,Case 285/04,recommendations,airport staff,bidding company,check background of
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,Pristina International Airport,28 February 2003,audit report date
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,Pristina International Airport,UNMIK,subject to finance regulation
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,introduction,UNMIK,1999/2,finance regulation reference
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,Pristina Airport,Kosovo,located in
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,UNMIK,Kosovo,operates in
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,PEAP,UNMIK,collaborates with
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,CPE,UNMIK,provides procurement support to
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,Doti,CPE,works with
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,investigation_details,ITF,PEAP,coordinates with
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,UNMIK,Kosovo,governing body of
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,United Nations,UNMIK,established
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,Kosovo,12 December 1999,date of regulation
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,applicable_laws_and_procedural_rules,Kosovo,22 March 1989,date of applicable law
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,methodology,2003/16,Pillar IV,establishment of investigation task force
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,methodology,Pristina,Pillar IV,location of investigation
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Pristina International Airport,Kosovo Force (KFOR),operates in cooperation with
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,United Nations Security Council,UNMIK,mandates administration of
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,UNMIK,Civil Administration Pillar II,entrusts administration to
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Civil Administration Pillar II,Department of Transport Infrastructure (Doti),supervises
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Department of Transport Infrastructure (Doti),Kosovo Trust Agency (KTA),transfers responsibility to
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Kosovo Trust Agency (KTA),Pillar IV,is part of
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,background_information,Air Traffic Control Services (ATCS),Pristina International Airport,manages operations at
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Doti Official 2,Doti Official 1,primarily responsible for shortcomings in the tender document
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Tender Evaluation Committee,Doti Official 2,conflict with regulations regarding bid opening session
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,Channel Office,Tender Evaluation Committee,legal adviser for contract extension
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,conclusions,UNMIK,Kosovo,organization involved in public procurement regulations
Irregularities in the procurement for the extension of the Cargo Apron at Pristina Airport,0282/04,recommendations,unmik,legal advice,recommends obtaining
